"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","X...iso_code","continent","Obesity_rate","Vaccinationph2","vml","vml2","lw","TTs","TTs2","GDP2","PopulationDensity2","PopulationDensity22","GHSI2","WGI2","Age65Older2","Age65Older22","Obesity_rate2","Obesity_rate22","CFR2","CFR22","SI2","CFRprcnt"
"5190",5107,"Finland",103,0.007539546,37413.33971,1741.714286,21.228,18.136,1494.609143,40585.721,161.21,34.72,68.7,1.61,"FIN","Europe",22.2,161.21,161.21,2.26059315746451,4.63472898822964,1494.609143,0.577315498721548,1.16531231117352,18.136,-0.261956241117782,1.75822293494958,1.77408261140997,21.228,1.94549102901848,22.2,0.48464871638177,0.00007539546,-0.586421714684575,-0.922471358427757,0.7539546
"5308",5215,"France",103,0.01447121,123769.524,50707.85714,19.718,122.578,2638.262714,38605.671,169.55,72.22,68.2,1.18,"FRA","Europe",21.6,169.55,169.55,2.40713986368329,4.63472898822964,2638.262714,1.34977714185379,1.06199750345711,122.578,-0.109145756078919,1.72417854177637,1.34799633276909,19.718,1.71033013106298,21.6,0.419152241671376,0.0001447121,-0.363660851709613,0.874313631368379,1.447121
"5419",5333,"Gabon",103,0.007527154,16506.72357,18.57142857,4.45,7.859,NA,16562.413,17.24,41.67,20,-0.95,"GAB","Africa",15,17.24,17.24,-0.269182537297813,4.63472898822964,NA,NA,-0.0881729274477505,7.859,-0.276992657068686,-1.55770096012107,-0.762617093986928,4.45,-0.667442445085727,15,-0.301308980142969,0.00007527154,-0.586819952771993,-0.58946720698554,0.7527154
"5530",5483,"Gambia",103,0.034103183,4032.441571,6.714285714,2.339,207.566,51.95966667,1561.767,11.05,13.89,34.2,-0.2,"GMB","Africa",10.3,11.05,11.05,-0.377950416373862,4.63472898822964,51.95966667,-0.397097919124322,-0.870874807254778,207.566,0.0152013217488028,-0.590840194001906,-0.0194433521714299,2.339,-0.996200495141394,10.3,-0.814364698707729,0.00034103183,0.267246135037169,-1.92052552742652,3.4103183
"5643",5594,"Georgia",103,0.014328265,224110.6644,3119.142857,14.864,65.032,2627.3245,9745.079,58.565,50,52,0.25,"GEO","Asia",21.7,58.565,58.565,0.456961663480495,4.63472898822964,2627.3245,1.34238910847233,-0.443886950501982,65.032,-0.193342077214538,0.621140202964368,0.426460892917869,14.864,0.954389072337158,21.7,0.430068320789774,0.00014328265,-0.368254633456385,-0.190341367918825,1.4328265
"5761",5681,"Germany",103,0.016205907,77964.43886,44025,21.453,237.016,1068.77,45229.245,163.1557143,84.26,66,1.42,"DEU","Europe",22.3,163.1557143,163.1557143,2.29478236872443,4.63472898822964,1068.77,0.289689584324952,1.40760154083263,237.016,0.0582900100580512,1.57438321181425,1.58581193015005,21.453,1.98053156017079,22.3,0.49556479550017,0.00016205907,-0.307913400488654,1.45120139875893,1.6205907
"5872",5788,"Ghana",103,0.009450008,4146.541,95,3.385,126.719,NA,4227.63,13.29,37.96,35.5,0.58,"GHA","Africa",10.9,13.29,13.29,-0.338590149955388,4.63472898822964,NA,NA,-0.73177573236107,126.719,-0.103087003675231,-0.50232477175156,0.753457339316688,3.385,-0.833300959206658,10.9,-0.748868223997334,0.00009450008,-0.525025754955299,-0.767229135309371,0.9450008
"5988",5910,"Greece",103,0.01920429,97201.71829,4618.142857,20.396,83.479,3946.7706,24574.382,152.9228571,80.09,53.8,0.86,"GRC","Europe",24.9,152.9228571,152.9228571,2.11497523228953,4.63472898822964,3946.7706,2.2335868699931,0.329874615121791,83.479,-0.166352025152036,0.743700018387924,1.03090886959447,20.396,1.81591893160194,24.9,0.779382852578547,0.0001920429,-0.211555241090066,1.25139890789359,1.920429
"6103",6054,"Guatemala",103,0.025780206,34106.42286,266.7142857,4.694,157.834,175.2264286,7423.808,58.36,59.72,32.7,-0.34,"GTM","North America",21.2,58.36,58.36,0.453359496241304,4.63472898822964,175.2264286,-0.313839450057697,-0.565005945993345,157.834,-0.0575622316296534,-0.692973373521535,-0.158169117310323,4.694,-0.629442935747223,21.2,0.375487925197779,0.00025780206,-0.000226947766722913,0.275385301436333,2.5780206
"6214",6127,"Guinea",103,0.012595417,2282.308286,2.285714286,3.135,51.755,NA,1998.926,18.55,59.26,32.7,-0.75,"GIN","Africa",7.7,18.55,18.55,-0.246163810062009,4.63472898822964,NA,NA,-0.848064778201725,51.755,-0.212767833230901,-0.692973373521535,-0.564437429502795,3.135,-0.872234882709224,7.7,-1.09818275578611,0.00012595417,-0.423942663903971,0.253344738894834,1.2595417
