"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph","covid_week"
"Israel",72,0.00760163487984582,96926.9115714286,33,11.733,402.606,1899.38542857143,47.3,33132.32,0.65,26.1,121.425714285714,71
"Israel",73,0.00761219580266686,96950.7112857143,29.1428571428571,11.733,402.606,1917.57657142857,47.3,33132.32,0.65,26.1,121.731428571429,71
"Israel",74,0.007628625849009,96973.4052857143,22.4285714285714,11.733,402.606,1937.00185714286,47.3,33132.32,0.65,26.1,122.048571428571,71
"Israel",75,0.00763752630371744,96987.8964285714,16,11.733,402.606,1957.95614285714,47.3,33132.32,0.65,26.1,122.298571428571,71
"Israel",76,0.00764582831426545,96999.1527142857,14,11.733,402.606,1973.50185714286,47.3,33132.32,0.65,26.1,122.53,71
"Israel",77,0.00765536583190065,97011.9768571429,16.7142857142857,11.733,402.606,1990.03228571429,47.3,33132.32,0.65,26.1,122.804285714286,71
"Israel",78,0.00765160560591382,97051.027,99.5714285714286,11.733,402.606,2014.11614285714,47.3,33132.32,0.65,26.1,123.124285714286,71
"Israel",79,0.00764324867926689,97178.7513333333,222.166666666667,11.733,402.606,2042.65225,47.3,33132.32,0.65,26.1,123.9,71
"Italy",74,0.0298890658173394,69412.2081666667,3749,23.021,205.859,1072.64733333333,56.2,35220.084,1.05,19.9,52.77,74
"Italy",75,0.0299046066833023,69761.2597142857,2741.85714285714,23.021,205.859,1095.341,56.2,35220.084,1.05,19.9,58.2342857142857,74
"Italy",76,0.0299052666306025,70025.8778571429,2100.71428571429,23.021,205.859,1116.12485714286,56.2,35220.084,1.05,19.9,64.5357142857143,74
"Italy",77,0.0299243160611133,70224.0287142857,1412.42857142857,23.021,205.859,1137.22571428571,56.2,35220.084,1.05,19.9,71,74
"Italy",78,0.0299270919439012,70351.0248571429,849.285714285714,23.021,205.859,1158.588,56.2,35220.084,1.05,19.9,77.2785714285714,74
"Italy",79,0.0299403805812195,70428.202,701.5,23.021,205.859,1174.72025,56.2,35220.084,1.05,19.9,83.1333333333333,74
"Kuwait",78,0.00551570353240992,79388.128,1661,2.345,232.128,664.424,46.1,65530.537,-0.59,37.9,72.59,73
"Latvia",76,0.0179759964079218,71830.0585,220,19.754,31.212,1435.837,62.9,25063.846,0.81,23.6,50.895,69
"Latvia",77,0.0180822363495747,72180.574,137.142857142857,19.754,31.212,1456.13342857143,62.9,25063.846,0.81,23.6,53.6242857142857,69
"Latvia",78,0.0182256426629846,72572.8967142857,80.8571428571429,19.754,31.212,1484.69957142857,62.9,25063.846,0.81,23.6,57.4957142857143,69
"Latvia",79,0.0182524138250916,72765.8898333333,53.1666666666667,19.754,31.212,1500.6622,62.9,25063.846,0.81,23.6,59.25,69
"Lithuania",73,0.0154552061655585,98529.694,944.5,19.002,45.135,1209.742,55,29524.265,0.92,26.3,51.81,70
"Lithuania",74,0.015471422115939,99624.9641428571,591.714285714286,19.002,45.135,1239.76757142857,55,29524.265,0.92,26.3,54.8728571428571,70
"Lithuania",75,0.0155367027074442,100824.373857143,388.428571428571,19.002,45.135,1290.62942857143,55,29524.265,0.92,26.3,60.5414285714286,70
"Lithuania",76,0.0155871011382216,101602.972428571,239.571428571429,19.002,45.135,1338.57228571429,55,29524.265,0.92,26.3,67.51,70
