"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"3359",5271,"Italy",60,0.03439125,45236.93857,11715.57143,23.021,205.859,603.1978571,35220.084,5.25,56.2,1.05,"ITA","Europe",19.9,5.25
"3363",8749,"Portugal",30,0.034360561,4904.063714,216,21.502,112.371,153.6491429,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3406",5272,"Italy",61,0.034041029,46746.90743,14717.57143,23.021,205.859,634.7622857,35220.084,6.204285714,56.2,1.05,"ITA","Europe",19.9,6.204285714
"3428",8750,"Portugal",31,0.03385435,5037.916286,181.5714286,21.502,112.371,163.1212857,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3479",5090,"Ireland",43,0.033486554,11273.66114,930.1428571,13.928,69.874,308.2711429,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"3495",8751,"Portugal",32,0.033371676,5159.573,180.5714286,21.502,112.371,172.6711429,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3500",5273,"Italy",62,0.033331046,48728.25586,18669.14286,23.021,205.859,669.3315714,35220.084,7.63,56.2,1.05,"ITA","Europe",19.9,7.63
"3504",11509,"United Kingdom",51,0.033278259,29549.44814,31881.85714,18.517,272.898,590.7605714,39753.244,0.99,77.9,1.38,"GBR","Europe",27.8,0.99
"3537",10055,"Spain",43,0.032997676,22569.24871,18345.14286,19.436,93.105,271.664,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"3549",8752,"Portugal",33,0.032922648,5301.251429,214.7142857,21.502,112.371,182.1812857,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3594",5292,"Italy",8,0.032647298,1.879,45.57142857,23.021,205.859,0.1075,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"3597",1879,"Canada",48,0.03262935,9718.822571,5915.428571,16.984,4.037,368.2867143,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"3610",5301,"Italy",63,0.032478042,51097.10957,21414,23.021,205.859,706.0877143,35220.084,9.638571429,56.2,1.05,"ITA","Europe",19.9,9.638571429
"3624",8753,"Portugal",34,0.032411822,5445.486286,209.1428571,21.502,112.371,191.866,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3713",8754,"Portugal",35,0.031669989,5640.876714,333,21.502,112.371,201.7057143,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3716",5275,"Italy",64,0.031667685,53686.60514,22527.71429,23.021,205.859,743.9161429,35220.084,11.73,56.2,1.05,"ITA","Europe",19.9,11.73
"3746",2859,"Denmark",37,0.031544344,3441.319429,318.4285714,19.677,136.52,514.5425714,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"3753",10023,"Spain",11,0.03151884,139.556,1436.142857,19.436,93.105,NA,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"3788",2194,"China",8,0.031307997,52.79771429,503,10.641,147.674,NA,15308.712,NA,48.2,-1.45,"CHN","Asia",6.2,0
"3814",11510,"United Kingdom",52,0.03112865,33225.96014,39050.71429,18.517,272.898,632.2562857,39753.244,1.47,77.9,1.38,"GBR","Europe",27.8,1.47
"3819",5091,"Ireland",44,0.031105975,12329.18457,611.5714286,13.928,69.874,327.5402857,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"3831",5276,"Italy",65,0.03102911,56300.47971,22547.42857,23.021,205.859,781.1375714,35220.084,13.74,56.2,1.05,"ITA","Europe",19.9,13.74
"3832",3717,"France",43,0.03102202,16616.72714,38631.57143,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"3839",11654,"Uruguay",29,0.030973405,300.4584286,14.14285714,14.655,19.751,25.40025,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"3876",8755,"Portugal",36,0.030704821,5883.263571,378.8571429,21.502,112.371,212.4297143,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3890",1880,"Canada",49,0.030659753,10887.69957,6539.571429,16.984,4.037,390.1861429,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"3908",5277,"Italy",66,0.030577369,58761.73186,20362.85714,23.021,205.859,817.2328571,35220.084,16.51142857,56.2,1.05,"ITA","Europe",19.9,16.51142857
"3925",11653,"Uruguay",28,0.030452971,282.6274286,4.571428571,14.655,19.751,22.37957143,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"3942",5279,"Italy",68,0.030336339,62636.36586,15507.71429,23.021,205.859,883.1852857,35220.084,22.67857143,56.2,1.05,"ITA","Europe",19.9,22.67857143
"3947",5278,"Italy",67,0.030327868,60891.72714,15788.42857,23.021,205.859,850.3428571,35220.084,19.36285714,56.2,1.05,"ITA","Europe",19.9,19.36285714
"3952",983,"Belgium",54,0.030297303,56068.81157,1737,18.571,375.564,608.5315714,42658.576,0.035714286,61,1.4,"BEL","Europe",22.1,0.035714286
"3963",5280,"Italy",69,0.030229587,64286.16871,13541.28571,23.021,205.859,916.7734286,35220.084,26.43,56.2,1.05,"ITA","Europe",19.9,26.43
"3964",978,"Belgium",55,0.030229127,57270.65857,2033,18.571,375.564,635.181,42658.576,0.407142857,61,1.4,"BEL","Europe",22.1,0.407142857
"3969",995,"Belgium",53,0.030191229,55480.611,2542.5,18.571,375.564,597.6045,42658.576,0.01,61,1.4,"BEL","Europe",22.1,0.01
"3971",7559,"Netherlands",42,0.030186382,13163.14086,7974.285714,18.779,508.544,184.597,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"3978",10056,"Spain",44,0.030129675,25529.53057,20375.42857,19.436,93.105,296.939,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
